agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_num_iters,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
NFQAgent,sweep_c90,10,0.9995153844356537,0.000158557189116282,5.014018570015114e-05,0.9992172718048096,0.999690055847168,0.9995339810848236,0.999437853693962,0.9996355473995208,NFQAgent,0.99,14639,0.0812702,0.942506,0.00087597,7.94389,184,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,2048,1,3,0,1000000,16,True,8
NFQAgent,sweep_c73,10,0.9993046522140503,0.0001382413004696018,4.371573761876462e-05,0.999082088470459,0.9995079040527344,0.9993108510971069,0.9992129504680635,0.999392181634903,NFQAgent,0.99,204882,0.0327916,0.430777,1.70984e-05,6.46662,252,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,128,1,0,0,1000000,8,True,8
NFQAgent,sweep_c12,10,0.9992067158222199,7.451178977036906e-05,2.3562696821000084e-05,0.9990557432174684,0.9992958903312684,0.9992325901985168,0.999196469783783,0.9992502182722092,NFQAgent,0.99,48989,0.0150247,0.88106,1.29674e-05,5.61509,60,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,16,1,9,0,1000000,8,True,2048
NFQAgent,sweep_c28,10,0.9990826666355133,5.4269526632222374e-05,1.716153116969897e-05,0.9990097880363464,0.999159574508667,0.9990738034248352,0.9990406930446624,0.9991338402032852,NFQAgent,0.99,142359,0.0112897,0.845592,3.57408e-06,2.54152,299,4096,FlatteningReplayBuffer,"(400,)",,0,0,100,512,1,5,0,1000000,64,True,16
NFQAgent,sweep_c43,10,0.9988606095314025,0.0002636411397122063,8.337064864132404e-05,0.9983733892440796,0.9992206692695618,0.9988023340702058,0.9987478703260422,0.9990696460008621,NFQAgent,0.99,138367,0.0535765,0.53288,0.00232453,14.1499,156,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,1024,1,5,0,1000000,64,True,4
NFQAgent,sweep_c69,10,0.9986943662166595,0.00017367725827953864,5.4921571393667866e-05,0.998271942138672,0.9988844394683838,0.9986884891986847,0.9986696094274521,0.9988143742084503,NFQAgent,0.99,167849,0.106206,0.633701,0.000282109,7.44152,31,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,256,1,6,0,1000000,4,True,1
NFQAgent,sweep_c55,10,0.9985075652599334,0.00019845832386460542,6.275803240315028e-05,0.998165726661682,0.9987383484840392,0.9985288083553314,0.9984537065029144,0.9986536353826522,NFQAgent,0.99,371923,0.0505982,0.617834,6.87978e-06,14.3917,67,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,128,1,4,0,1000000,32,True,128
NFQAgent,sweep_c84,10,0.9985054790973663,0.00020666975125141327,6.535471374149001e-05,0.998176097869873,0.9988261461257936,0.998539000749588,0.9983495622873307,0.9986516684293746,NFQAgent,0.99,282104,0.0781935,0.609249,5.63767e-05,9.55191,140,2048,FlatteningReplayBuffer,"(400,)",,0,0,100,16,1,4,0,1000000,2,True,4
NFQAgent,sweep_c46,10,0.9984922885894776,9.654547186167523e-05,3.053035888585904e-05,0.9982714653015136,0.9986056089401244,0.9985037744045258,0.9984607845544815,0.9985589534044266,NFQAgent,0.99,314681,0.0107122,0.844704,3.97236e-06,9.29927,166,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,512,1,5,0,1000000,8,True,4096
NFQAgent,sweep_c58,10,0.9984186708927154,0.00011309646949616231,3.5764243893162866e-05,0.9982612729072572,0.9986009001731871,0.9984174966812134,0.9983691722154617,0.9984491318464278,NFQAgent,0.99,207465,0.0772783,0.902682,0.00822059,1.26102,38,2048,FlatteningReplayBuffer,"(400,)",,0,0,100,1024,1,7,0,1000000,16,True,2048
NFQAgent,sweep_c57,10,0.9984146893024445,0.00012511815368014976,3.956583422642517e-05,0.998232901096344,0.9986016154289246,0.9984217286109924,0.9983268231153488,0.9984802752733231,NFQAgent,0.99,117820,0.0153105,0.402849,0.000167124,4.80678,125,2048,FlatteningReplayBuffer,"(400,)",,0,0,100,64,1,0,0,1000000,16,True,64
NFQAgent,sweep_c5,10,0.9983648598194123,0.00015135847751921602,4.786375321361146e-05,0.9982042908668518,0.9985982775688172,0.998298317193985,0.9982476383447648,0.9985021501779556,NFQAgent,0.99,490073,0.0562717,0.524038,2.98455e-06,7.39037,155,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,256,1,6,0,1000000,2,True,8192
NFQAgent,sweep_c51,10,0.9982536494731903,0.00023645129852655598,7.477246590483324e-05,0.997898519039154,0.9987887144088744,0.998247891664505,0.9981237500905991,0.998324528336525,NFQAgent,0.99,45056,0.0420173,0.924289,7.24475e-06,14.0427,213,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,32,1,7,0,1000000,64,True,2048
NFQAgent,sweep_c16,10,0.9981500983238221,0.0003499899506252843,0.00011067654021457706,0.997392475605011,0.998583972454071,0.9981910884380341,0.9979742318391801,0.9983593672513963,NFQAgent,0.99,92655,0.0450144,0.717754,3.01877e-05,0.296736,210,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,256,1,8,0,1000000,32,True,8192
NFQAgent,sweep_c67,10,0.9980355858802795,0.0002692341052353292,8.513929963411041e-05,0.9975541234016418,0.9985426068305968,0.9979716837406158,0.9979097545146942,0.9981753528118134,NFQAgent,0.99,279593,0.0844037,0.701787,0.00117119,1.66907,279,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,256,1,2,0,1000000,16,True,32
NFQAgent,sweep_c7,10,0.9980343103408813,9.932784071833157e-05,3.1410221173634304e-05,0.997886836528778,0.998222589492798,0.9980505406856537,0.9979829043149947,0.9980825781822206,NFQAgent,0.99,345278,0.0111868,0.875027,1.21729e-05,3.97484,36,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,64,1,9,0,1000000,4,True,8192
NFQAgent,sweep_c8,10,0.9979874193668365,0.0002087780050088561,6.602140211740277e-05,0.9976020455360411,0.9983019828796388,0.9980262219905853,0.9978830814361572,0.998097151517868,NFQAgent,0.99,359350,0.167906,0.789526,2.97655e-06,5.93031,269,4096,FlatteningReplayBuffer,"(400,)",,0,0,100,128,1,9,0,1000000,8,True,512
NFQAgent,sweep_c62,10,0.9977314352989197,0.00015420855977606423,4.87650283586588e-05,0.9973929524421692,0.9979180693626404,0.9977371692657471,0.9976727962493895,0.9978180676698685,NFQAgent,0.99,75746,0.242224,0.617413,2.90882e-05,5.39497,45,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,128,1,6,0,1000000,16,True,8192
NFQAgent,sweep_c61,10,0.9977012753486634,0.00024509269162207,7.750511433870095e-05,0.9972342848777772,0.998026728630066,0.9977408647537231,0.9975857138633728,0.9978775233030319,NFQAgent,0.99,81676,0.0784268,0.378511,4.37689e-06,11.9553,229,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,64,1,8,0,1000000,64,True,4
NFQAgent,sweep_c82,10,0.9975225925445557,0.0010212718680380315,0.0003229545213255096,0.9954538345336914,0.9985018968582152,0.997939795255661,0.997177243232727,0.9982375651597977,NFQAgent,0.99,396747,0.0427204,0.354,0.00039915,13.3104,202,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,64,1,5,0,1000000,8,True,8
NFQAgent,sweep_c13,10,0.997394573688507,0.000336249631591142,0.0001063314698220516,0.9965726137161256,0.9976939558982848,0.9975179731845856,0.9973598420619965,0.9975509196519852,NFQAgent,0.99,492241,0.152335,0.447404,5.38721e-06,10.2223,279,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,32,1,7,0,1000000,16,True,8
NFQAgent,sweep_c76,10,0.9973926305770874,0.00033037600723456447,0.000104474066713349,0.9968665838241576,0.9979654550552368,0.9973728060722352,0.9971745759248734,0.997591108083725,NFQAgent,0.99,177786,0.0504192,0.478327,0.000482568,4.06149,23,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,64,1,4,0,1000000,32,True,16
NFQAgent,sweep_c65,10,0.9970301568508149,0.0002896162478218463,9.158469905088136e-05,0.9964988231658936,0.9975191950798036,0.9970399439334869,0.9969239979982377,0.9972015172243118,NFQAgent,0.99,234090,0.111868,0.923393,0.000224885,1.62027,130,4096,FlatteningReplayBuffer,"(400,)",,0,0,100,256,1,8,0,1000000,8,True,1
NFQAgent,sweep_c68,10,0.9962867498397827,0.005700583101034002,0.0018026826590333206,0.9801017045974731,0.9987040162086488,0.9980048835277557,0.9977012872695923,0.9983809888362885,NFQAgent,0.99,64186,0.0152099,0.396469,0.00226115,5.78327,240,2048,FlatteningReplayBuffer,"(400,)",,0,0,100,256,1,6,0,1000000,32,True,2048
NFQAgent,sweep_c54,10,0.9960147917270661,0.00010987722135189647,3.4746228244247825e-05,0.995887279510498,0.9961453676223756,0.9959977269172668,0.9959127306938171,0.9961282163858414,NFQAgent,0.99,473333,0.120615,0.761313,1.04491e-06,1.9355,4,4096,FlatteningReplayBuffer,"(400,)",,0,0,100,512,1,9,0,1000000,1,True,8192
NFQAgent,sweep_c20,10,0.9958890557289124,0.0005533166559363946,0.0001749740900066734,0.9945530295372008,0.996526062488556,0.9959493279457092,0.9958242923021317,0.9961880594491959,NFQAgent,0.99,348181,0.0414736,0.791281,0.000236929,10.6642,85,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,32,1,4,0,1000000,16,True,128
NFQAgent,sweep_c15,10,0.995649766921997,0.0003037251680078163,9.604633136220052e-05,0.9951778054237366,0.9960020780563354,0.9956408441066742,0.995412454009056,0.9959488660097122,NFQAgent,0.99,482549,0.173105,0.812119,0.000130793,8.58955,105,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,64,1,0,0,1000000,4,True,256
NFQAgent,sweep_c88,10,0.9956013143062592,0.0004545539546751092,0.00014374258162102877,0.9946967363357544,0.9961169362068176,0.9957626461982728,0.9954956471920013,0.9958790242671968,NFQAgent,0.99,208398,0.0155512,0.3177,0.00285661,2.41312,91,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,32,1,2,0,1000000,4,True,4096
NFQAgent,sweep_c41,10,0.9950408101081848,0.00036676327406864233,0.00011598073081574803,0.9942359924316406,0.995455801486969,0.995125949382782,0.9949183762073517,0.9952688515186309,NFQAgent,0.99,315647,0.0582299,0.855902,3.42844e-06,14.8589,219,2048,FlatteningReplayBuffer,"(400,)",,0,0,100,256,1,5,0,1000000,256,True,8192
NFQAgent,sweep_c21,10,0.9950294554233551,0.001644200908978011,0.0005199419803289707,0.9921166896820068,0.9973776936531068,0.9945396482944489,0.9940625429153442,0.9964712411165237,NFQAgent,0.99,397091,0.0674937,0.641086,0.0013011,0.101031,20,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,512,1,5,0,1000000,16,True,1
NFQAgent,sweep_c23,10,0.9948972344398499,0.0013821583989972015,0.0004370768627962943,0.9917003512382508,0.996208131313324,0.9952685534954071,0.9942424148321152,0.9958031773567201,NFQAgent,0.99,396708,0.0104981,0.302375,0.000291375,0.135128,271,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,32,1,0,0,1000000,8,True,512
NFQAgent,sweep_c95,10,0.9947108566761017,0.00013725480978563203,4.340378187357644e-05,0.99451345205307,0.9948951005935668,0.9946930706501007,0.9946210384368896,0.9948323220014571,NFQAgent,0.99,468889,0.0421027,0.980465,2.33554e-06,13.8376,230,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,64,1,9,0,1000000,32,True,4
NFQAgent,sweep_c32,10,0.9946824312210083,0.001996991790614029,0.0006315042526998394,0.991439402103424,0.997193455696106,0.9950228333473206,0.9931564033031464,0.9963350892066957,NFQAgent,0.99,5116,0.0123122,0.824909,3.16091e-06,1.56134,285,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,256,1,7,0,1000000,128,True,4096
NFQAgent,sweep_c9,10,0.9946157336235046,0.0005257104079226996,0.00016624422786919586,0.99353289604187,0.995400071144104,0.9946101605892181,0.9943519234657288,0.9949365705251694,NFQAgent,0.99,368119,0.0885371,0.644859,4.21303e-05,13.7624,183,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,512,1,7,0,1000000,512,True,128
NFQAgent,sweep_c35,10,0.9941929936408996,0.0004078557546882773,0.0001289753141621854,0.9931575059890748,0.9946851134300232,0.9942661821842194,0.9941315650939941,0.9943869709968567,NFQAgent,0.99,419084,0.296995,0.748698,3.26605e-05,3.31683,75,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,128,1,6,0,1000000,128,True,32
NFQAgent,sweep_c2,10,0.9941423535346985,0.0002249053302965596,7.11213101649601e-05,0.9936944246292114,0.9944861531257628,0.9941050410270691,0.9940819889307022,0.9943087995052337,NFQAgent,0.99,294503,0.0307427,0.895332,2.72463e-06,1.60045,223,4096,FlatteningReplayBuffer,"(400,)",,0,0,100,128,1,1,0,1000000,256,True,128
NFQAgent,sweep_c11,10,0.992233419418335,0.0008462243423947184,0.00026759963334454953,0.9909562468528748,0.9933204054832458,0.9925341606140137,0.9915252327919006,0.9928411394357681,NFQAgent,0.99,449435,0.14347,0.343535,0.000327711,10.4953,24,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,32,1,5,0,1000000,1,True,1024
NFQAgent,sweep_c66,10,0.9919232130050659,0.0014829402890795278,0.0004689468947519829,0.9890570044517516,0.9940455555915833,0.992264300584793,0.9909117221832274,0.9927169531583786,NFQAgent,0.99,62962,0.0614114,0.483741,2.60559e-06,7.99976,128,2048,FlatteningReplayBuffer,"(400,)",,0,0,100,32,1,5,0,1000000,64,True,16
NFQAgent,sweep_c33,10,0.9904861629009247,0.004883229118196151,0.0015442126349955421,0.9773109555244446,0.99516761302948,0.9918405413627625,0.9902470409870148,0.992647647857666,NFQAgent,0.99,194111,0.0421579,0.775512,0.00283564,3.38005,134,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,64,1,6,0,1000000,64,True,32
NFQAgent,sweep_c30,10,0.9876459419727326,0.0017035306028183638,0.0005387036768705684,0.9850461483001708,0.989716649055481,0.9880392849445344,0.9860292077064514,0.9890881180763245,NFQAgent,0.99,477398,0.0140225,0.590305,8.69535e-05,7.26947,173,4096,FlatteningReplayBuffer,"(400,)",,0,0,100,32,1,0,0,1000000,128,True,2048
NFQAgent,sweep_c40,10,0.9867135405540466,0.002979302933338114,0.0009421383108969239,0.9816458821296692,0.989935040473938,0.9876733422279358,0.9847480952739716,0.9887458384037018,NFQAgent,0.99,85247,0.0307842,0.890768,1.23092e-06,12.0296,236,4096,FlatteningReplayBuffer,"(400,)",,0,0,100,1024,1,7,0,1000000,256,True,512
NFQAgent,sweep_c77,10,0.9855358123779296,0.0008036335103926488,0.00025413122968773665,0.9842826724052428,0.9869271516799928,0.985503375530243,0.9850714951753616,0.985911175608635,NFQAgent,0.99,357780,0.145218,0.398285,0.00731687,3.41028,204,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,128,1,6,0,1000000,128,True,32
NFQAgent,sweep_c83,10,0.9635680556297302,0.001706517350972178,0.000539648169566904,0.9603325724601746,0.965262234210968,0.9642406404018402,0.9627575576305389,0.964808389544487,NFQAgent,0.99,168560,0.240056,0.909765,5.70296e-06,14.9206,55,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,256,1,8,0,1000000,512,True,2048
NFQAgent,sweep_c99,10,0.9492851495742798,0.01563264167332847,0.004943475353298385,0.9184107184410096,0.971036970615387,0.9519889056682587,0.9466218799352646,0.9587006270885468,NFQAgent,0.99,79680,0.0474024,0.734357,0.00338322,9.26256,21,4096,FlatteningReplayBuffer,"(400,)",,0,0,100,512,1,9,0,1000000,64,True,1024
NFQAgent,sweep_c14,10,0.9123321533203125,0.02664145794596878,0.008424768729685242,0.8640214800834656,0.9457364082336426,0.9229318797588348,0.8959978967905045,0.9309228509664537,NFQAgent,0.99,33003,0.0440683,0.510743,2.65984e-06,7.60418,21,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,32,1,7,0,1000000,64,True,16
NFQAgent,sweep_c63,10,0.903154456615448,0.021266310389575653,0.006724997825916179,0.8580353856086731,0.9332639575004578,0.9067330658435822,0.8950621485710144,0.9159621000289916,NFQAgent,0.99,157531,0.010268,0.733115,0.0133724,1.80541,155,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,64,1,1,0,1000000,64,True,2
NFQAgent,sweep_c53,10,0.8709669709205627,0.06864248170537918,0.021706658643543722,0.7296404838562012,0.9247336387634276,0.9088035821914673,0.8463084995746613,0.9178145378828049,NFQAgent,0.99,94274,0.0323791,0.784243,5.20601e-06,0.248467,119,4096,FlatteningReplayBuffer,"(400,)",,0,0,100,32,1,4,0,1000000,512,True,8
NFQAgent,sweep_c27,10,0.6659799158573151,0.07710537405573606,0.024382860185538067,0.5167232155799866,0.7574751973152161,0.6871413886547089,0.6122767478227615,0.7174915671348572,NFQAgent,0.99,153586,0.0358737,0.424802,0.139321,0.232567,78,4096,FlatteningReplayBuffer,"(400,)",,0,0,100,512,1,0,0,1000000,32,True,2048
NFQAgent,sweep_c44,10,0.6274523675441742,0.009443705434515242,0.0029863618724778264,0.610315203666687,0.6364985704421997,0.6303040683269501,0.6243711560964584,0.6349972039461136,NFQAgent,0.99,436127,0.02655,0.389125,0.00607843,5.07697,19,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,1024,1,6,0,1000000,4,True,8192
NFQAgent,sweep_c74,10,0.312968298047781,0.4605312188649442,0.14563275852267274,0.0194117072969675,0.9901746511459352,0.020734334364533348,0.020150509197264826,0.740193085744977,NFQAgent,0.99,123698,0.0374659,0.334855,0.00289962,9.53432,96,4096,FlatteningReplayBuffer,"(400,)",,0,0,100,16,1,8,0,1000000,4,True,512
NFQAgent,sweep_c92,10,0.282152359187603,0.051321369486115466,0.016229242021519007,0.1969683617353439,0.3579277992248535,0.28710615634918213,0.24406643956899637,0.31503097712993616,NFQAgent,0.99,412759,0.163586,0.792393,0.00369209,4.44675,31,2048,FlatteningReplayBuffer,"(400,)",,0,0,100,16,1,0,0,1000000,32,True,32
NFQAgent,sweep_c94,10,0.2129741661250591,0.10303046855633109,0.03258109490323664,0.097608096897602,0.4416018426418304,0.1791800111532211,0.16100289672613138,0.216317743062973,NFQAgent,0.99,33150,0.0531404,0.547394,0.00526661,0.466014,24,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,128,1,9,0,1000000,32,True,8192
NFQAgent,sweep_c56,10,0.09575474411249155,0.003387597176318228,0.0010712522872320615,0.0917763784527778,0.1017896011471748,0.095382735133171,0.0936026666313409,0.09582022391259662,NFQAgent,0.99,291038,0.198389,0.507443,0.470242,9.57514,95,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,32,1,5,0,1000000,2,True,4
NFQAgent,sweep_c64,10,0.07197244688868519,0.0024908178921397694,0.0007876657775861284,0.066724769771099,0.0749251693487167,0.07263676822185515,0.07144930399954315,0.07326853275299065,NFQAgent,0.99,400504,0.0220408,0.832063,0.0100774,6.13905,12,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,256,1,5,0,1000000,1,True,16
NFQAgent,sweep_c6,10,0.0703591421246528,0.002741442865587118,0.0008669203530474127,0.0667503848671913,0.0750287473201751,0.06998893246054644,0.06867421790957445,0.0715659670531749,NFQAgent,0.99,287906,0.151653,0.442241,0.27805,8.85549,228,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,1024,1,7,0,1000000,32,True,16
NFQAgent,sweep_c38,10,0.05552275180816644,0.00479379766630535,0.001515931926752472,0.0479117892682552,0.0621069930493831,0.055980050936341244,0.0522881541401147,0.05935224052518598,NFQAgent,0.99,19595,0.161607,0.929306,0.480968,7.9241,132,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,64,1,6,0,1000000,64,True,2048
NFQAgent,sweep_c39,10,0.05084561593830581,0.004443096491655141,0.0014050304777533554,0.0428935997188091,0.0552464611828327,0.052323961630463545,0.048477091826498425,0.05439535155892365,NFQAgent,0.99,271809,0.151921,0.629302,0.0147837,13.0465,21,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,128,1,1,0,1000000,4,True,16
NFQAgent,sweep_c37,10,0.045186047628521867,0.0017815762058875212,0.000563383863576565,0.0426136367022991,0.0482421889901161,0.0447943694889545,0.044461865909397526,0.04630046803504225,NFQAgent,0.99,262434,0.0544826,0.525722,0.259065,9.56247,104,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,128,1,9,0,1000000,1,True,2048
NFQAgent,sweep_c89,10,0.04271296113729471,0.004557165508274209,0.0014411022680505408,0.0366512723267078,0.0508938170969486,0.0425906423479318,0.03897195681929582,0.044561058282852097,NFQAgent,0.99,112913,0.135934,0.647716,0.252372,3.60621,68,2048,FlatteningReplayBuffer,"(400,)",,0,0,100,1024,1,2,0,1000000,32,True,1024
NFQAgent,sweep_c48,10,0.04220197945833203,0.0007962729786481897,0.00025180362517749033,0.0409385412931442,0.0438106432557106,0.04214446805417535,0.04173102322965855,0.04254539869725703,NFQAgent,0.99,155037,0.0373766,0.970928,0.10292,13.7616,63,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,128,1,4,0,1000000,1,True,128
NFQAgent,sweep_c93,10,0.04078118652105327,0.002591445645652591,0.0008194870672787809,0.0382465422153472,0.046582031995058,0.03955306299030775,0.0391843887045979,0.041717630811035605,NFQAgent,0.99,119445,0.0943104,0.767903,0.124207,3.97559,84,4096,FlatteningReplayBuffer,"(400,)",,0,0,100,16,1,7,0,1000000,32,True,2048
NFQAgent,sweep_c0,10,0.03698218986392017,0.0036058384575994055,0.0011402662400642606,0.0326546654105186,0.0434144921600818,0.03737862221896645,0.03381666541099545,0.03859632555395358,NFQAgent,0.99,136746,0.0418057,0.830568,0.096538,14.4854,249,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,256,1,6,0,1000000,128,True,512
NFQAgent,sweep_c25,10,0.03304607607424254,0.001686151418182751,0.0005332078961380543,0.0303239151835441,0.0350343473255634,0.03384253382682795,0.031467760913073975,0.034175220876932075,NFQAgent,0.99,343657,0.0239257,0.381046,0.0526546,7.8609,178,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,64,1,5,0,1000000,16,True,1
NFQAgent,sweep_c70,10,0.029361851513385728,0.0018866793552517367,0.0005966203977013448,0.0267575047910213,0.0320866145193576,0.02864440903067585,0.028081876225769478,0.030766557436436373,NFQAgent,0.99,205978,0.0334943,0.451,0.172989,13.3393,6,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,32,1,5,0,1000000,2,True,1
NFQAgent,sweep_c81,10,0.023709433712065183,0.0019051267099700728,0.0006024539634728444,0.0212997812777757,0.0261050127446651,0.023552582599222653,0.022062075790017774,0.025420406367629697,NFQAgent,0.99,231743,0.0535896,0.588484,0.259423,1.86004,42,2048,FlatteningReplayBuffer,"(400,)",,0,0,100,32,1,5,0,1000000,4,True,8
NFQAgent,sweep_c26,10,0.01590837491676207,0.0008788086030644327,0.0002779036813034436,0.0146414339542388,0.0170149262994527,0.0159780895337462,0.01511076837778085,0.0166712179780006,NFQAgent,0.99,497239,0.0667973,0.776698,1.73796e-06,5.56672,291,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,2048,1,2,0,1000000,128,True,32
NFQAgent,sweep_c1,10,0.012638332042843047,0.0018270008756369046,0.0005777484054134651,0.0103472294285893,0.0159706380218267,0.0122257922776043,0.01143283210694785,0.013211425626650375,NFQAgent,0.99,74267,0.0160592,0.45291,0.183465,11.3615,129,16384,FlatteningReplayBuffer,"(400,)",,0,0,100,64,1,3,0,1000000,16,True,2048
NFQAgent,sweep_c80,10,0.007752008084207729,0.0006102865117681548,0.00019298954024665226,0.0068855402059853,0.0086765736341476,0.007781713269650849,0.007184381480328725,0.008230448700487551,NFQAgent,0.99,161334,0.0226179,0.910383,0.000701115,14.0193,38,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,2048,1,5,0,1000000,128,True,1
NFQAgent,sweep_c49,10,0.0019191953469998597,0.0003673181758191585,0.00011615620615667257,0.0014992504147812,0.0023990403860807,0.0017993702203966,0.001624427677597825,0.00227386306505645,NFQAgent,0.99,332357,0.0336258,0.433334,0.000156128,1.22256,23,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,2048,1,3,0,1000000,16,True,256
NFQAgent,sweep_c45,10,0.0016994112287647503,0.0003648978249234769,0.00011539082399995433,0.0009998000459745,0.0021991203539073,0.00174956012051545,0.0016243927238974252,0.001948965626070225,NFQAgent,0.99,425824,0.107661,0.357134,0.00357654,14.8019,211,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,2048,1,3,0,1000000,64,True,1
