agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_num_update_epochs,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DQNAgent,sweep_c51,10,0.9962391257286072,0.0004497215929476108,0.0001422144546673567,0.9952065348625184,0.9968739151954652,0.9962857365608215,0.9961445480585099,0.9964745640754701,DQNAgent,0.99,491604.0,0.230784,0.696209,,,0.000326995,6.29305,,,,,128.0,,,,2048,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,1,0,1000000,4,True,4096
DQNAgent,sweep_c82,10,0.9960467219352722,0.0014936718518489872,0.0004723405128724385,0.993649125099182,0.9975178837776184,0.9965923428535461,0.994724303483963,0.9972726106643677,DQNAgent,0.99,425150.0,0.0117521,0.807223,,,0.000525917,14.6855,,,,,4096.0,,,,131072,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,9,0,1000000,2,True,2
DQNAgent,sweep_c25,10,0.995462816953659,0.0008513835847381668,0.0002692311290251577,0.9936891794204712,0.9963172674179076,0.9957062602043152,0.9953041225671768,0.995996966958046,DQNAgent,0.99,339134.0,0.161143,0.757497,,,3.26645e-05,1.81513,,,,,2048.0,,,,4096,FlatteningReplayBuffer,"(33,)",,0,0,100,64,1,6,0,1000000,1,True,1
DQNAgent,sweep_c75,10,0.9953322768211365,0.0002657174963066962,8.402725024865393e-05,0.995005428791046,0.9957399368286132,0.9952962100505829,0.9951214194297789,0.9955242574214935,DQNAgent,0.99,308510.0,0.24465,0.437336,,,1.99352e-05,13.5967,,,,,64.0,,,,1024,FlatteningReplayBuffer,"(33,)",,0,0,100,32,1,7,0,1000000,2,True,32
DQNAgent,sweep_c52,10,0.9940141558647155,0.003454526515460391,0.0010924172026299708,0.9846675395965576,0.9972795844078064,0.9948469698429108,0.9939597696065904,0.9956247210502625,DQNAgent,0.99,482968.0,0.0110793,0.780493,,,0.000433531,10.8659,,,,,2048.0,,,,2048,FlatteningReplayBuffer,"(33,)",,0,0,100,64,1,8,0,1000000,2,True,32
RMaxNFQAgent,sweep_c51,10,0.9326825857162475,0.01430741572881083,0.004524402113396018,0.9088112115859984,0.9564939737319946,0.9311698377132416,0.9233668744564056,0.9425882548093797,RMaxNFQAgent,0.99,,,,,,0.000957323,7.78521,67.0,294.0,,,,,,1.0,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,32,1,8,0,1000000,64,True,16
RMaxNFQAgent,sweep_c12,10,0.8377011537551879,0.07707486665726512,0.024373212899072617,0.7223870754241943,0.9412308931350708,0.8409025371074677,0.7781453281641006,0.9027010351419448,RMaxNFQAgent,0.99,,,,,,0.00609597,13.7956,89.0,183.0,,,,,,1.0,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,512,1,5,0,1000000,512,True,128
RMaxNFQAgent,sweep_c26,10,0.7771487474441529,0.16621913066745847,0.05256310436023127,0.3404966592788696,0.9060555696487428,0.8210807740688324,0.7494261413812637,0.8735157996416092,RMaxNFQAgent,0.99,,,,,,0.0156049,8.7382,86.0,213.0,,,,,,1.0,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,1024,1,9,0,1000000,512,True,4096
RMaxNFQAgent,sweep_c54,10,0.7005872452631593,0.3043504904289847,0.09624407567448684,0.0028959456831216,0.989414930343628,0.8396846354007721,0.5517431870102882,0.86592598259449,RMaxNFQAgent,0.99,,,,,,0.000256385,1.40275,49.0,66.0,,,,,,1.0,2048,FlatteningReplayBuffer,"(400,)",,0,0,100,256,1,8,0,1000000,32,True,1
RMaxNFQAgent,sweep_c15,10,0.690629506111145,0.12815701472628113,0.04052680646627888,0.5758364200592041,0.994082808494568,0.6649520695209503,0.6011980026960373,0.7055347263813019,RMaxNFQAgent,0.99,,,,,,0.00244108,9.23147,68.0,38.0,,,,,,1.0,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,32,1,7,0,1000000,8,True,64
DRMAgent,sweep_c96,10,0.3635471314191818,0.004630476782808878,0.0014642853286204864,0.3544941842556,0.3689999282360077,0.36445255577564234,0.360512189567089,0.3672298640012741,DRMAgent,0.99,,,,5.0,112.0,0.156124,11.1546,,,1.0,1.0,64.0,True,1.0,,16384,FlatteningReplayBuffer,"(33,)",,0,0,100,1024,1,8,0,1000000,1,True,64
DRMAgent,sweep_c79,10,0.3591289520263672,0.004475161364282443,0.0014151702807919015,0.3529865443706512,0.3680986762046814,0.35787391662597656,0.3568922132253647,0.36093443632125854,DRMAgent,0.99,,,,5.0,455.0,0.098933,10.3347,,,1.0,1.0,128.0,True,1.0,,1024,FlatteningReplayBuffer,"(33,)",,0,0,100,1024,1,3,0,1000000,1,True,1
DRMAgent,sweep_c3,10,0.35828682482242585,0.0049079448398597295,0.0015520284324427097,0.3471244573593139,0.3641095757484436,0.3591476827859878,0.3567764461040496,0.3613429591059685,DRMAgent,0.99,,,,5.0,328.0,0.508118,6.69613,,,1.0,1.0,8192.0,True,1.0,,16384,FlatteningReplayBuffer,"(33,)",,0,0,100,256,1,3,0,1000000,1,True,2
DRMAgent,sweep_c14,10,0.349170058965683,0.004537504650150781,0.0014348849588081952,0.3401260673999786,0.3538277149200439,0.3505174517631531,0.34587170928716654,0.3525313660502434,DRMAgent,0.99,,,,5.0,12.0,0.471036,10.7999,,,1.0,1.0,256.0,True,1.0,,8192,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,5,0,1000000,1,True,256
DRMAgent,sweep_c47,10,0.34675259292125704,0.0037248105194248567,0.00117788850939374,0.3402471840381622,0.351620078086853,0.345776692032814,0.34502135962247843,0.35025623440742487,DRMAgent,0.99,,,,5.0,462.0,0.0748448,12.6978,,,1.0,1.0,8192.0,True,1.0,,8192,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,0,0,1000000,1,True,2048
